id_municipio,cidade,ano,semana,temperatura_media,precipitacao,casos
1100205,Porto Velho,2020,11,,0.0,7
1100205,Porto Velho,2020,12,,0.0,4
1100205,Porto Velho,2020,13,,0.0,7
1100205,Porto Velho,2020,14,,0.0,9
1100205,Porto Velho,2020,15,,0.0,14
1100205,Porto Velho,2020,16,,0.0,10
1100205,Porto Velho,2020,17,,0.0,8
1100205,Porto Velho,2020,18,,0.0,3
1100205,Porto Velho,2020,19,,0.0,8
1100205,Porto Velho,2020,20,,0.0,4
1100205,Porto Velho,2020,23,,0.0,2
1100205,Porto Velho,2020,24,,0.0,2
1100205,Porto Velho,2020,25,,0.0,1
1100205,Porto Velho,2020,26,,0.0,1
1100205,Porto Velho,2020,27,,0.0,8
1100205,Porto Velho,2020,28,,0.0,7
1100205,Porto Velho,2020,29,,0.0,3
1100205,Porto Velho,2020,30,,0.0,5
1100205,Porto Velho,2020,31,,0.0,2
1100205,Porto Velho,2020,32,,0.0,2
1100205,Porto Velho,2020,33,,0.0,2
1100205,Porto Velho,2020,34,,0.0,4
1100205,Porto Velho,2020,35,,0.0,2
1100205,Porto Velho,2020,36,,0.0,2
1100205,Porto Velho,2020,38,,0.0,1
1100205,Porto Velho,2020,41,,0.0,1
1100205,Porto Velho,2020,43,,0.0,3
1100205,Porto Velho,2020,44,,0.0,9
1100205,Porto Velho,2020,45,,0.0,2
1100205,Porto Velho,2020,46,,0.0,1
1100205,Porto Velho,2020,47,,0.0,2
1100205,Porto Velho,2020,48,,0.0,2
1100205,Porto Velho,2020,49,,0.0,1
1100205,Porto Velho,2020,50,,0.0,1
1100205,Porto Velho,2020,51,,0.0,3
1100205,Porto Velho,2020,52,,0.0,14
1100205,Porto Velho,2020,53,,0.0,3
1100205,Porto Velho,2021,1,,0.0,8
1100205,Porto Velho,2021,2,,0.0,26
1100205,Porto Velho,2021,3,,0.0,9
1100205,Porto Velho,2021,4,,0.0,8
1100205,Porto Velho,2021,5,,0.0,8
1100205,Porto Velho,2021,6,,0.0,10
1100205,Porto Velho,2021,7,,0.0,7
1100205,Porto Velho,2021,8,,0.0,4
1100205,Porto Velho,2021,9,,0.0,7
1100205,Porto Velho,2021,10,,0.0,3
1100205,Porto Velho,2021,11,,0.0,6
1100205,Porto Velho,2021,12,,0.0,4
