cidade,data,ano,mes,temperatura_media,precipitacao,casos
Brasília,2020-11-27,2020,11,21.4,0.0,29
Brasília,2020-11-29,2020,11,22.35,0.0,20
Brasília,2020-12-05,2020,12,23.700000000000003,0.2,25
Brasília,2020-12-22,2020,12,22.450000000000003,30.4,26
Brasília,2020-12-23,2020,12,22.75,17.6,18
Brasília,2020-12-29,2020,12,24.4,0.0,53
Brasília,2020-12-30,2020,12,23.35,0.0,52
,2016-11-17,2016,11,23.15,2.0,
Brasília,2016-11-14,2016,11,19.55,13.2,1
Brasília,2016-10-21,2016,10,23.9,11.0,2
Brasília,2016-01-21,2016,1,21.9,52.800000000000004,67
Brasília,2016-10-06,2016,10,20.4,7.0,1
Brasília,2016-01-18,2016,1,21.8,9.399999999999997,127
,2016-10-08,2016,10,22.5,0.0,
Brasília,2016-01-16,2016,1,22.0,3.2000000000000006,14
Brasília,2016-12-12,2016,12,24.2,0.0,3
Brasília,2016-12-14,2016,12,23.1,25.199999999999996,2
Brasília,2016-02-21,2016,2,23.25,2.6,14
Brasília,2016-01-03,2016,1,22.05,32.60000000000001,1
Brasília,2016-02-14,2016,2,23.35,2.2,112
,2016-12-24,2016,12,23.95,0.0,
Brasília,2016-01-13,2016,1,22.3,25.0,55
,2016-12-22,2016,12,23.65,0.0,
,2016-10-17,2016,10,26.75,0.0,
,2016-09-20,2016,9,24.7,0.0,
Brasília,2016-01-11,2016,1,22.55,9.0,144
Brasília,2016-01-29,2016,1,22.6,0.4,47
Brasília,2016-04-11,2016,4,22.950000000000003,0.0,196
,2016-11-11,2016,11,23.05,0.0,
Brasília,2016-08-16,2016,8,20.2,0.0,1
Brasília,2016-12-31,2016,12,22.5,0.0,1
,2016-11-27,2016,11,22.700000000000003,20.0,
Brasília,2016-02-23,2016,2,23.549999999999997,0.2,224
Brasília,2016-11-28,2016,11,23.75,3.0000000000000004,3
Brasília,2016-05-01,2016,5,21.35,0.0,8
Brasília,2016-03-21,2016,3,24.200000000000003,0.0,199
Brasília,2016-01-30,2016,1,23.65,0.0,5
Brasília,2016-08-28,2016,8,23.4,2.6,1
Brasília,2016-09-08,2016,9,24.35,0.0,4
Brasília,2016-03-26,2016,3,22.9,10.999999999999998,64
Brasília,2016-03-22,2016,3,23.45,0.0,193
Brasília,2016-11-04,2016,11,23.6,0.0,1
Brasília,2016-07-21,2016,7,21.2,0.0,17
Brasília,2016-07-20,2016,7,21.5,0.0,6
Brasília,2016-03-14,2016,3,24.0,0.2,285
Brasília,2016-05-03,2016,5,22.75,0.0,87
Brasília,2016-08-23,2016,8,21.75,0.0,3
Brasília,2016-08-26,2016,8,21.4,0.0,3
Brasília,2016-06-09,2016,6,21.0,0.0,38
Brasília,2016-04-18,2016,4,23.3,0.0,153
Brasília,2016-08-03,2016,8,19.4,0.0,5
Brasília,2016-06-22,2016,6,20.4,0.0,22
Brasília,2016-06-14,2016,6,18.6,0.0,15
Brasília,2015-01-20,2015,1,25.049999999999997,0.0,17
Brasília,2015-03-12,2015,3,21.1,4.6000000000000005,40
Brasília,2015-10-03,2015,10,25.95,0.0,3
Brasília,2015-11-07,2015,11,26.9,0.0,2
Brasília,2015-03-13,2015,3,21.35,1.8,22
Brasília,2015-04-22,2015,4,23.75,10.6,149
,2015-09-26,2015,9,27.2,0.0,
Brasília,2015-12-23,2015,12,23.950000000000003,1.2,19
Brasília,2015-10-09,2015,10,27.0,0.0,2
Brasília,2015-03-20,2015,3,19.35,2.6,34
Brasília,2015-01-27,2015,1,21.5,2.0,8
Brasília,2015-09-06,2015,9,25.45,0.0,2
Brasília,2015-02-10,2015,2,22.75,0.2,20
Brasília,2015-12-20,2015,12,23.4,14.0,1
Brasília,2015-10-29,2015,10,23.5,7.6000000000000005,8
Brasília,2015-10-16,2015,10,27.349999999999998,0.0,2
Brasília,2015-03-29,2015,3,23.6,0.0,11
Brasília,2015-09-14,2015,9,21.8,1.0,4
Brasília,2015-08-28,2015,8,22.7,0.0,3
Brasília,2015-07-22,2015,7,19.3,0.0,29
Brasília,2015-09-16,2015,9,25.25,0.0,3
Brasília,2015-07-14,2015,7,20.1,0.0,29
Brasília,2015-07-26,2015,7,21.75,0.0,1
Brasília,2015-08-18,2015,8,20.9,0.0,21
Brasília,2015-05-16,2015,5,18.8,0.0,15
Brasília,2015-08-11,2015,8,20.0,0.0,5
Brasília,2015-07-16,2015,7,20.35,0.0,21
Brasília,2023-08-15,2023,8,20.95,0.0,35
Brasília,2024-07-31,2024,7,21.25,0.0,67
Brasília,2024-08-29,2024,8,21.549999999999997,0.0,63
Brasília,2023-08-20,2023,8,22.15,0.0,2
